company_original,company_processed,matched_assignee_original,matched_assignee_processed,similarity_score,valid_match,notes
01 COMMUNIQUE LABORATORY INC,01 communique laboratory,01 Communique Laboratory Inc.,01 communique laboratory,1.0,True,
1-800 CONTACTS INC,1 800 contacts,"1-800 Contacts, Inc.",1 800 contacts,0.9999999403953552,True,
10X GENOMICS INC,10x genomics,"10X GENOMICS, INC.",10x genomics,1.0,True,
20-20 TECHNOLOGIES INC,20 20 technologies,20/20 Technologies Inc.,20 20 technologies,1.0,True,
21ST CENTURY TECHNOLOGIES,21st century technologies,21st Century Technologies,21st century technologies,1.0,True,
22ND CENTURY GROUP INC,22nd century,"22nd Century Limited, LLC",22nd century,1.0,True,
23ANDME HOLDING CO,23andme,"23andMe, Inc.",23andme,1.0,True,
2SEVENTY BIO INC,2seventy bio,"2seventy bio, Inc.",2seventy bio,1.0,True,
3-DIMENSIONAL PHARMACEUTICAL,3 dimensional pharmaceutical,"3-Dimensional Pharmaceuticals, Inc.",3 dimensional pharmaceuticals,0.9735867977142334,True,
3COM CORP,3com,3Com Corporation,3com,1.0,True,
3D IMAGE TECHNOLOGY INC,3d image technology,3-D Image Technology,3 d image technology,0.950290322303772,True,
3D LABS INC LTD,3d labs,"3D Labs Co., Ltd.",3d labs,1.0,True,
3D SYSTEMS CORP,3d systems,3D Systems GmbH,3d systems,1.0,True,
3DFX INTERACTIVE INC,3dfx interactive,"3Dfx Interactive, Inc.",3dfx interactive,1.0,True,
3DO CO,3do,3DO Company,3do,1.0,True,
3M CO,3m,3M Company,3m,1.0,True,
3PAR INC,3par,3PAR Inc.,3par,0.9999998211860657,True,
4-D NEUROIMAGING,4 d neuroimaging,4-D Neuroimaging,4 d neuroimaging,1.0,True,
4D PHARMA PLC,4d pharma,4D PHARMA PLC,4d pharma,0.9999998807907104,True,
5N PLUS INC,5n plus,5N PlUS INC.,5n plus,1.0,True,
7-ELEVEN INC,7 eleven,"7-ELEVEN, INC.",7 eleven,1.0,True,
724 SOLUTIONS INC,724 solutions,"724 Solutions, Inc.",724 solutions,1.0,True,
89BIO INC,89bio,89BIO LTD,89bio,1.0,True,
8X8 INC,8x8,"8x8, Inc.",8x8,0.9999998211860657,True,
